index,original_value,discretized_bin,global_entropy
0,1008.89,82,7.76059333118036
1,1008.76,82,7.76059333118036
2,1008.66,82,7.76059333118036
3,1008.64,82,7.76059333118036
4,1008.61,82,7.76059333118036
5,1008.44,81,7.576881378007972
6,1008.49,82,7.76059333118036
7,1008.4,81,7.576881378007972
8,1008.29,81,7.576881378007972
9,1008.28,81,7.576881378007972
10,1008.24,81,7.576881378007972
11,1008.32,81,7.576881378007972
12,1008.24,81,7.576881378007972
13,1008.35,81,7.576881378007972
14,1008.3,81,7.576881378007972
15,1008.4,81,7.576881378007972
16,1008.39,81,7.576881378007972
17,1008.46,81,7.576881378007972
18,1008.15,81,7.576881378007972
19,1008.07,81,7.576881378007972
20,1008.12,81,7.576881378007972
21,1008.04,81,7.576881378007972
22,1008.16,81,7.576881378007972
23,1008.0,81,7.576881378007972
24,1007.76,80,7.471086713985375
25,1007.84,81,7.576881378007972
26,1007.85,81,7.576881378007972
27,1008.02,81,7.576881378007972
28,1007.92,81,7.576881378007972
29,1007.63,80,7.471086713985375
30,1007.63,80,7.471086713985375
31,1007.9,81,7.576881378007972
32,1007.99,81,7.576881378007972
33,1007.85,81,7.576881378007972
34,1007.81,80,7.471086713985375
35,1007.81,80,7.471086713985375
36,1007.91,81,7.576881378007972
37,1008.06,81,7.576881378007972
38,1008.22,81,7.576881378007972
39,1008.19,81,7.576881378007972
40,1008.21,81,7.576881378007972
41,1008.17,81,7.576881378007972
42,1008.16,81,7.576881378007972
43,1008.17,81,7.576881378007972
44,1008.13,81,7.576881378007972
45,1008.25,81,7.576881378007972
46,1008.17,81,7.576881378007972
47,1008.16,81,7.576881378007972
48,1008.12,81,7.576881378007972
49,1008.12,81,7.576881378007972
50,1008.12,81,7.576881378007972
51,1008.04,81,7.576881378007972
52,1007.96,81,7.576881378007972
53,1008.07,81,7.576881378007972
54,1008.17,81,7.576881378007972
55,1008.28,81,7.576881378007972
56,1008.2,81,7.576881378007972
57,1008.31,81,7.576881378007972
58,1008.41,81,7.576881378007972
59,1008.45,81,7.576881378007972
60,1008.5,82,7.76059333118036
61,1008.46,81,7.576881378007972
62,1008.49,82,7.76059333118036
63,1008.37,81,7.576881378007972
64,1008.36,81,7.576881378007972
65,1008.34,81,7.576881378007972
66,1008.21,81,7.576881378007972
67,1008.02,81,7.576881378007972
68,1008.03,81,7.576881378007972
69,1007.84,81,7.576881378007972
70,1007.69,80,7.471086713985375
71,1007.62,80,7.471086713985375
72,1007.59,80,7.471086713985375
73,1007.56,80,7.471086713985375
74,1007.44,80,7.471086713985375
75,1007.29,80,7.471086713985375
76,1007.12,79,7.737038603201463
77,1007.04,79,7.737038603201463
78,1006.98,79,7.737038603201463
79,1006.83,79,7.737038603201463
80,1006.79,79,7.737038603201463
81,1006.69,79,7.737038603201463
82,1006.6,79,7.737038603201463
83,1006.41,78,8.146247023678109
84,1006.3,78,8.146247023678109
85,1006.26,78,8.146247023678109
86,1006.19,78,8.146247023678109
87,1006.06,78,8.146247023678109
88,1006.01,78,8.146247023678109
89,1006.01,78,8.146247023678109
90,1006.03,78,8.146247023678109
91,1006.02,78,8.146247023678109
92,1006.02,78,8.146247023678109
93,1005.99,78,8.146247023678109
94,1005.87,77,8.193552738456466
95,1005.83,77,8.193552738456466
96,1005.78,77,8.193552738456466
97,1005.71,77,8.193552738456466
98,1005.71,77,8.193552738456466
99,1005.76,77,8.193552738456466
100,1005.88,77,8.193552738456466
101,1005.96,78,8.146247023678109
102,1005.96,78,8.146247023678109
103,1006.03,78,8.146247023678109
104,1006.0,78,8.146247023678109
105,1005.96,78,8.146247023678109
106,1005.93,78,8.146247023678109
107,1005.85,77,8.193552738456466
108,1005.81,77,8.193552738456466
109,1005.83,77,8.193552738456466
110,1005.78,77,8.193552738456466
111,1005.71,77,8.193552738456466
112,1005.7,77,8.193552738456466
113,1005.68,77,8.193552738456466
114,1005.71,77,8.193552738456466
115,1005.69,77,8.193552738456466
116,1005.61,77,8.193552738456466
117,1005.49,77,8.193552738456466
118,1005.57,77,8.193552738456466
119,1005.53,77,8.193552738456466
120,1005.46,77,8.193552738456466
121,1005.39,77,8.193552738456466
122,1005.34,77,8.193552738456466
123,1005.32,77,8.193552738456466
124,1005.26,77,8.193552738456466
125,1005.21,76,8.146247023678109
126,1005.12,76,8.146247023678109
127,1005.07,76,8.146247023678109
128,1005.01,76,8.146247023678109
129,1004.96,76,8.146247023678109
130,1004.84,76,8.146247023678109
131,1004.76,76,8.146247023678109
132,1004.64,76,8.146247023678109
133,1004.61,76,8.146247023678109
134,1004.54,75,7.475952469157191
135,1004.51,75,7.475952469157191
136,1004.62,76,8.146247023678109
137,1004.56,75,7.475952469157191
138,1004.45,75,7.475952469157191
139,1004.35,75,7.475952469157191
140,1004.28,75,7.475952469157191
141,1004.29,75,7.475952469157191
142,1004.26,75,7.475952469157191
143,1004.16,75,7.475952469157191
144,1004.13,75,7.475952469157191
145,1004.13,75,7.475952469157191
146,1004.11,75,7.475952469157191
147,1004.09,75,7.475952469157191
148,1004.0,75,7.475952469157191
149,1003.96,75,7.475952469157191
150,1003.86,74,7.327853830168057
151,1003.9,74,7.327853830168057
152,1003.76,74,7.327853830168057
153,1003.75,74,7.327853830168057
154,1003.72,74,7.327853830168057
155,1003.76,74,7.327853830168057
156,1003.73,74,7.327853830168057
157,1003.67,74,7.327853830168057
158,1003.51,74,7.327853830168057
159,1003.51,74,7.327853830168057
160,1003.49,74,7.327853830168057
161,1003.38,74,7.327853830168057
162,1003.27,73,6.86842221153076
163,1003.17,73,6.86842221153076
164,1003.12,73,6.86842221153076
165,1003.07,73,6.86842221153076
166,1003.08,73,6.86842221153076
167,1003.12,73,6.86842221153076
168,1003.22,73,6.86842221153076
169,1003.37,74,7.327853830168057
170,1003.32,74,7.327853830168057
171,1003.15,73,6.86842221153076
172,1002.99,73,6.86842221153076
173,1002.82,73,6.86842221153076
174,1002.67,73,6.86842221153076
175,1002.65,72,6.790588071478197
176,1002.67,73,6.86842221153076
177,1002.62,72,6.790588071478197
178,1002.55,72,6.790588071478197
179,1002.53,72,6.790588071478197
180,1002.51,72,6.790588071478197
181,1002.53,72,6.790588071478197
182,1002.53,72,6.790588071478197
183,1002.52,72,6.790588071478197
184,1002.44,72,6.790588071478197
185,1002.41,72,6.790588071478197
186,1002.37,72,6.790588071478197
187,1002.4,72,6.790588071478197
188,1002.4,72,6.790588071478197
189,1002.36,72,6.790588071478197
190,1002.35,72,6.790588071478197
191,1002.38,72,6.790588071478197
192,1002.36,72,6.790588071478197
